STATION,NAME,DATE,TAVG
USR0000ASLR,"SALMON RIVER ALASKA, AK US",1/1/2021,6
USR0000ASLR,"SALMON RIVER ALASKA, AK US",1/2/2021,-4
USR0000ASLR,"SALMON RIVER ALASKA, AK US",1/3/2021,-11
USR0000ASLR,"SALMON RIVER ALASKA, AK US",1/4/2021,-11
USR0000ASLR,"SALMON RIVER ALASKA, AK US",1/5/2021,-8
USR0000ASLR,"SALMON RIVER ALASKA, AK US",1/6/2021,4
USR0000ASLR,"SALMON RIVER ALASKA, AK US",1/7/2021,9
USR0000ASLR,"SALMON RIVER ALASKA, AK US",1/8/2021,8
USR0000ASLR,"SALMON RIVER ALASKA, AK US",1/9/2021,7
USR0000ASLR,"SALMON RIVER ALASKA, AK US",1/10/2021,12
USR0000ASLR,"SALMON RIVER ALASKA, AK US",1/11/2021,6
USR0000ASLR,"SALMON RIVER ALASKA, AK US",1/12/2021,2
USR0000ASLR,"SALMON RIVER ALASKA, AK US",1/13/2021,6
USR0000ASLR,"SALMON RIVER ALASKA, AK US",1/14/2021,7
USR0000ASLR,"SALMON RIVER ALASKA, AK US",1/15/2021,2
USR0000ASLR,"SALMON RIVER ALASKA, AK US",1/16/2021,-3
USR0000ASLR,"SALMON RIVER ALASKA, AK US",1/17/2021,9
USR0000ASLR,"SALMON RIVER ALASKA, AK US",1/18/2021,19
USR0000ASLR,"SALMON RIVER ALASKA, AK US",1/19/2021,7
USR0000ASLR,"SALMON RIVER ALASKA, AK US",1/20/2021,-1
USR0000ASLR,"SALMON RIVER ALASKA, AK US",1/21/2021,11
USR0000ASLR,"SALMON RIVER ALASKA, AK US",1/22/2021,27
USR0000ASLR,"SALMON RIVER ALASKA, AK US",1/23/2021,27
USR0000ASLR,"SALMON RIVER ALASKA, AK US",1/24/2021,17
USR0000ASLR,"SALMON RIVER ALASKA, AK US",1/25/2021,13
USR0000ASLR,"SALMON RIVER ALASKA, AK US",1/26/2021,9
USR0000ASLR,"SALMON RIVER ALASKA, AK US",1/27/2021,2
USR0000ASLR,"SALMON RIVER ALASKA, AK US",1/28/2021,-2
USR0000ASLR,"SALMON RIVER ALASKA, AK US",1/29/2021,-14
USR0000ASLR,"SALMON RIVER ALASKA, AK US",1/30/2021,-16
USR0000ASLR,"SALMON RIVER ALASKA, AK US",1/31/2021,-12
USR0000ASLR,"SALMON RIVER ALASKA, AK US",2/1/2021,-11
USR0000ASLR,"SALMON RIVER ALASKA, AK US",2/2/2021,-2
USR0000ASLR,"SALMON RIVER ALASKA, AK US",2/3/2021,-16
USR0000ASLR,"SALMON RIVER ALASKA, AK US",2/4/2021,-19
USR0000ASLR,"SALMON RIVER ALASKA, AK US",2/5/2021,-9
USR0000ASLR,"SALMON RIVER ALASKA, AK US",2/6/2021,-6
USR0000ASLR,"SALMON RIVER ALASKA, AK US",2/7/2021,-8
USR0000ASLR,"SALMON RIVER ALASKA, AK US",2/8/2021,-10
USR0000ASLR,"SALMON RIVER ALASKA, AK US",2/9/2021,-17
USR0000ASLR,"SALMON RIVER ALASKA, AK US",2/10/2021,-22
USR0000ASLR,"SALMON RIVER ALASKA, AK US",2/11/2021,-12
USR0000ASLR,"SALMON RIVER ALASKA, AK US",2/12/2021,14
USR0000ASLR,"SALMON RIVER ALASKA, AK US",2/13/2021,18
USR0000ASLR,"SALMON RIVER ALASKA, AK US",2/14/2021,5
USR0000ASLR,"SALMON RIVER ALASKA, AK US",2/15/2021,-3
USR0000ASLR,"SALMON RIVER ALASKA, AK US",2/16/2021,-7
USR0000ASLR,"SALMON RIVER ALASKA, AK US",2/17/2021,-12
USR0000ASLR,"SALMON RIVER ALASKA, AK US",2/18/2021,-12
USR0000ASLR,"SALMON RIVER ALASKA, AK US",2/19/2021,-15
USR0000ASLR,"SALMON RIVER ALASKA, AK US",2/20/2021,-15
USR0000ASLR,"SALMON RIVER ALASKA, AK US",2/21/2021,-7
USR0000ASLR,"SALMON RIVER ALASKA, AK US",2/22/2021,-12
USR0000ASLR,"SALMON RIVER ALASKA, AK US",2/23/2021,-15
USR0000ASLR,"SALMON RIVER ALASKA, AK US",2/24/2021,-7
USR0000ASLR,"SALMON RIVER ALASKA, AK US",2/25/2021,-7
USR0000ASLR,"SALMON RIVER ALASKA, AK US",2/26/2021,-13
USR0000ASLR,"SALMON RIVER ALASKA, AK US",2/27/2021,-15
USR0000ASLR,"SALMON RIVER ALASKA, AK US",2/28/2021,-16
USR0000ASLR,"SALMON RIVER ALASKA, AK US",3/1/2021,-10
USR0000ASLR,"SALMON RIVER ALASKA, AK US",3/2/2021,-16
USR0000ASLR,"SALMON RIVER ALASKA, AK US",3/3/2021,-18
USR0000ASLR,"SALMON RIVER ALASKA, AK US",3/4/2021,-9
USR0000ASLR,"SALMON RIVER ALASKA, AK US",3/5/2021,7
USR0000ASLR,"SALMON RIVER ALASKA, AK US",3/6/2021,7
USR0000ASLR,"SALMON RIVER ALASKA, AK US",3/7/2021,11
USR0000ASLR,"SALMON RIVER ALASKA, AK US",3/8/2021,20
USR0000ASLR,"SALMON RIVER ALASKA, AK US",3/9/2021,17
USR0000ASLR,"SALMON RIVER ALASKA, AK US",3/10/2021,0
USR0000ASLR,"SALMON RIVER ALASKA, AK US",3/11/2021,-16
USR0000ASLR,"SALMON RIVER ALASKA, AK US",3/12/2021,-13
USR0000ASLR,"SALMON RIVER ALASKA, AK US",3/13/2021,-7
USR0000ASLR,"SALMON RIVER ALASKA, AK US",3/14/2021,2
USR0000ASLR,"SALMON RIVER ALASKA, AK US",3/15/2021,6
USR0000ASLR,"SALMON RIVER ALASKA, AK US",3/16/2021,4
USR0000ASLR,"SALMON RIVER ALASKA, AK US",3/17/2021,3
USR0000ASLR,"SALMON RIVER ALASKA, AK US",3/18/2021,-2
USR0000ASLR,"SALMON RIVER ALASKA, AK US",3/19/2021,-4
USR0000ASLR,"SALMON RIVER ALASKA, AK US",3/20/2021,-3
USR0000ASLR,"SALMON RIVER ALASKA, AK US",3/21/2021,6
USR0000ASLR,"SALMON RIVER ALASKA, AK US",3/22/2021,8
USR0000ASLR,"SALMON RIVER ALASKA, AK US",3/23/2021,-6
USR0000ASLR,"SALMON RIVER ALASKA, AK US",3/24/2021,7
USR0000ASLR,"SALMON RIVER ALASKA, AK US",3/25/2021,11
USR0000ASLR,"SALMON RIVER ALASKA, AK US",3/26/2021,2
USR0000ASLR,"SALMON RIVER ALASKA, AK US",3/27/2021,-3
USR0000ASLR,"SALMON RIVER ALASKA, AK US",3/28/2021,-2
USR0000ASLR,"SALMON RIVER ALASKA, AK US",3/29/2021,14
USR0000ASLR,"SALMON RIVER ALASKA, AK US",3/30/2021,16
USR0000ASLR,"SALMON RIVER ALASKA, AK US",3/31/2021,-1
USR0000ASLR,"SALMON RIVER ALASKA, AK US",4/1/2021,-8
USR0000ASLR,"SALMON RIVER ALASKA, AK US",4/2/2021,-7
USR0000ASLR,"SALMON RIVER ALASKA, AK US",4/3/2021,2
USR0000ASLR,"SALMON RIVER ALASKA, AK US",4/4/2021,4
USR0000ASLR,"SALMON RIVER ALASKA, AK US",4/5/2021,-3
USR0000ASLR,"SALMON RIVER ALASKA, AK US",4/6/2021,-1
USR0000ASLR,"SALMON RIVER ALASKA, AK US",4/7/2021,-7
USR0000ASLR,"SALMON RIVER ALASKA, AK US",4/8/2021,-16
USR0000ASLR,"SALMON RIVER ALASKA, AK US",4/9/2021,-10
USR0000ASLR,"SALMON RIVER ALASKA, AK US",4/10/2021,-6
USR0000ASLR,"SALMON RIVER ALASKA, AK US",4/11/2021,1
USR0000ASLR,"SALMON RIVER ALASKA, AK US",4/12/2021,18
USR0000ASLR,"SALMON RIVER ALASKA, AK US",4/13/2021,28
USR0000ASLR,"SALMON RIVER ALASKA, AK US",4/14/2021,30
USR0000ASLR,"SALMON RIVER ALASKA, AK US",4/15/2021,28
USR0000ASLR,"SALMON RIVER ALASKA, AK US",4/16/2021,22
USR0000ASLR,"SALMON RIVER ALASKA, AK US",4/17/2021,32
USR0000ASLR,"SALMON RIVER ALASKA, AK US",4/18/2021,35
USR0000ASLR,"SALMON RIVER ALASKA, AK US",4/19/2021,34
USR0000ASLR,"SALMON RIVER ALASKA, AK US",4/20/2021,27
USR0000ASLR,"SALMON RIVER ALASKA, AK US",4/21/2021,32
USR0000ASLR,"SALMON RIVER ALASKA, AK US",4/22/2021,38
USR0000ASLR,"SALMON RIVER ALASKA, AK US",4/23/2021,43
USR0000ASLR,"SALMON RIVER ALASKA, AK US",4/24/2021,41
USR0000ASLR,"SALMON RIVER ALASKA, AK US",4/25/2021,42
